"","Geneid","2i_counts","S_counts"
"620","1810010K12Rik",0,0.5
"621","1810012K08Rik",13.5,19.5
"622","1810012K16Rik",0.5,1.5
"623","1810013D15Rik",1.5,3
"624","1810013L24Rik",2185,1859.5
"625","1810014B01Rik",102.5,113
"626","1810014P07Rik",1,0
"627","1810017P11Rik",0,0
"628","1810018F18Rik",0,0
"629","1810019D21Rik",15.5,64.5
"630","1810019N24Rik",0,0
"631","1810020O05Rik",28.5,6
"632","1810021B22Rik",0,3.5
"633","1810024B03Rik",26.5,22
"634","1810026B05Rik",384.5,324.5
"635","1810028F09Rik",0,0
"636","1810030O07Rik",977.5,730.5
"637","1810034E14Rik",5,4.5
"638","1810035K13Rik",0,0
"639","1810037I17Rik",1389,994.5
"640","1810041H14Rik",2,4.5
"641","1810044D09Rik",25,19
"642","1810044K17Rik",0,0
"643","1810046K07Rik",0,0
"644","1810049I09Rik",0,0
"645","1810049J17Rik",0,0
"646","1810053B23Rik",0,0
"647","1810055G02Rik",952.5,816
"648","1810058I24Rik",1924.5,1765
"649","1810058N15Rik",0.5,0.5
"650","1810059C17Rik",0.5,0
"651","1810059H22Rik",19,4.5
"652","1810062G17Rik",1.5,8.5
"653","1810062O18Rik",9,9.5
"654","1810063I02Rik",6,0.5
"655","1810064F22Rik",0,0
"656","1810065E05Rik",0,0
"657","1810073O08Rik",1.5,0
"658","2010001A14Rik",22.5,14
"659","2010001K21Rik",22,29
"660","2010001M07Rik",0,0
"661","2010003K11Rik",0.5,0
"662","2010007H06Rik",0,1.5
"663","2010008C14Rik",15,7
"664","2010009K17Rik",0,0
"665","2010010A06Rik",8.5,54
"666","2010013B24Rik",0,0
"667","2010016I18Rik",0.5,3.5
"668","2010103J01Rik",0,0
"669","2010106C02Rik",0,0
"670","2010106E10Rik",0,0.5
"671","2010106G04Rik",0,0
"672","2010109A12Rik",0,2.5
"673","2010109P13Rik",0.5,0
"674","2010110E17Rik",0.5,0.5
"675","2010110G14Rik",0,0
"676","2010110K18Rik",47,45
"677","2010203P06Rik",0,0
"678","2010204K13Rik",138,581
"679","2010300C02Rik",31.5,55
"680","2010308F09Rik",0.5,1
"681","2010309G21Rik",1.5,0
"682","2010310C07Rik",0,0.5
"683","2010315B03Rik",53,55.5
"684","2010320M18Rik",81.5,75.5
"685","2010320O07Rik",0,0
"686","2200002A13Rik",0,0
"687","2200002D01Rik",26,381.5
"688","2200002J24Rik",0,0.5
"689","2200007N16Rik",0,0
"690","2210009P08Rik",1.5,0.5
"691","2210010C04Rik",0.5,0.5
"692","2210011K15Rik",0,0
"693","2210016F16Rik",640,388
"694","2210016L21Rik",811,763
"695","2210017I01Rik",0,0
"696","2210020O09Rik",0,0
"697","2210039B01Rik",0,1.5
"698","2210404E10Rik",0.5,0
"699","2210406H18Rik",2,2.5
"700","2210406O10Rik",2.5,1.5
"701","2210407C18Rik",0,0
"702","2210408F21Rik",1.5,1
"703","2210408I21Rik",100,135
"704","2210409D07Rik",0,0
"705","2210409E12Rik",184.5,17
"706","2210411M09Rik",0.5,2.5
"707","2210412B16Rik",0.5,1
"708","2210414B05Rik",0,0
"709","2210414F02Rik",0,0
"710","2210417A02Rik",5.5,2.5
"711","2210418O10Rik",153.5,96.5
"712","2210420H20Rik",0.5,0
"713","2300002M23Rik",91,0.5
"714","2300003K06Rik",0,1
"715","2300009A05Rik",22.5,19
"716","2310001H17Rik",2,2.5
"717","2310001K20Rik",0,0
"718","2310001K24Rik",1,0.5
"719","2310002D06Rik",0,0
"720","2310002F09Rik",0.5,9.5
"721","2310002L09Rik",0,0
"722","2310003L06Rik",19.5,2
"723","2310003N18Rik",0,0
"724","2310005A03Rik",0,0
"725","2310005E17Rik",0,0
"726","2310008N11Rik",0,0
"727","2310009B15Rik",79.5,83
"728","2310010J17Rik",10,14.5
"729","2310011J03Rik",674.5,752
"730","2310014F06Rik",5.5,11.5
"731","2310015A10Rik",6.5,22
"732","2310015A16Rik",1,0
"733","2310015D24Rik",0,0
"734","2310015K22Rik",2,0
"735","2310016D03Rik",0,0
"736","2310016D23Rik",0,0
"737","2310016G11Rik",0,0
"738","2310020H05Rik",0,0
"739","2310022A10Rik",1662,1423.5
"740","2310022B05Rik",519.5,1293
"741","2310026I22Rik",0,0
